路線,区間,本数,駅,状態
天神大牟田線,天神大牟田線(東甘木〜大牟田),75,東甘木 西鉄銀水 新栄町 大牟田,auto_review
天竜浜名湖線,,,,auto_fail
太多線,,38,,auto_v1
太宰府線,,78,,auto_v1
奈良線,奈良線(京都〜城陽),95,京都 東福寺 稲荷 JR藤森 桃山 六地蔵 木幡 黄檗 宇治 JR小倉 新田 城陽,auto_v2
奈良線,奈良線(城陽〜長池),67,城陽 長池,auto_v2
奈良線,奈良線(長池〜木津),47,長池 山城青谷 山城多賀 玉水 棚倉 上狛 木津,auto_v2
妙見線,,107,,auto_v1
妙高はねうまライン,,,,auto_fail
姫新線,,,,auto_fail
宇品線,,,,auto_fail
宇治線,,96,,auto_v1
宇部線,,20,,auto_v1
宇野線,,,,auto_fail
安野屋線,,,,auto_fail
宝塚線,,,,auto_fail
宮島線,,,,auto_fail
宮崎空港線,,31,,auto_v1
宮津線,,,,auto_fail
宮福線,宮福線(福知山〜大江高校前),26,福知山 福知山市民病院口 荒河かしの木台 牧 下天津 公庄 大江 大江高校前,auto_v2
宮福線,宮福線(大江高校前〜宮津),12,大江高校前 二俣 大江山口内宮 辛皮 喜多 宮村 宮津,auto_v2
宿毛線,,14,,auto_v1
富山地方鉄道支線,,,,auto_fail
富山地方鉄道本線,,,,auto_fail
富山港線,富山港線(岩瀬浜〜オークスカナルパークホテル富山前),71,岩瀬浜 競輪場前 東岩瀬 萩浦小学校前 蓮町（馬場記念公園前） 犬島新町 城川原 越中中島 粟島（大阪屋ショップ前） 下奥井 奥田中学校前 龍谷富山高校前（永楽町） インテック本社前 オークスカナルパークホテル富山前,auto_v2
富山港線,富山港線(オークスカナルパークホテル富山前〜富山駅),0,オークスカナルパークホテル富山前 富山駅,auto_v2
富山都心線,,,,auto_fail
富山駅南北接続線,,,,auto_fail
小浜線,,12,,auto_v1
小海線,,17,,auto_v1
小牧線,小牧線(犬山〜小牧口),74,犬山 羽黒 楽田 田県神社前 味岡 小牧原 小牧 小牧口,auto_v2
小牧線,小牧線(小牧口〜上飯田),90,小牧口 間内 牛山 春日井 味美 味鋺 上飯田,auto_v2
小野田線,小野田線(小野田〜浜河内),11,小野田 目出 南中川 南小野田 小野田港 雀田 長門長沢 妻崎 居能 浜河内,auto_v2
小野田線,小野田線(浜河内〜長門本山),3,浜河内 長門本山,auto_v2
尾西線,,38,,auto_v1
山口線,山口線(益田〜宮野),8,益田 本俣賀 石見横田 東青原 青原 日原 青野山 津和野 船平山 徳佐 鍋倉 地福 名草 三谷 渡川 長門峡 篠目 仁保 宮野,auto_v2
山口線,山口線(宮野〜山口),18,宮野 上山口 山口,auto_v2
山口線,山口線(山口〜新山口),32,山口 湯田温泉 矢原 大歳 仁保津 上郷 周防下郷 新山口,auto_v2
山陰線,,,,auto_fail
山陽新幹線,山陽新幹線(新大阪〜西明石),156,新大阪 新神戸 西明石,auto_review
山陽新幹線,山陽新幹線(西明石〜徳山),29,西明石 姫路 相生 岡山 新倉敷 福山 新尾道 三原 東広島 広島 新岩国 徳山,auto_review
山陽新幹線,山陽新幹線(徳山〜新山口),46,徳山 新山口,auto_review
山陽新幹線,山陽新幹線(新山口〜厚狭),62,新山口 厚狭,auto_review
山陽新幹線,山陽新幹線(厚狭〜新下関),21,厚狭 新下関,auto_review
山陽新幹線,山陽新幹線(新下関〜博多),135,新下関 小倉 博多,auto_review
山陽線,,,,auto_fail
山陽電鉄本線,,163,,auto_v1
岩徳線,岩徳線(岩国〜川西),22,岩国 西岩国 川西,auto_v2
岩徳線,岩徳線(川西〜櫛ヶ浜),12,川西 柱野 欽明路 玖珂 周防高森 米川 高水 勝間 大河内 周防久保 生野屋 周防花岡 櫛ヶ浜,auto_v2
岳南鉄道線,,36,,auto_v1
島原鉄道線,島原鉄道線(諫早（雲仙・島原口）〜本諫早（諫早市役所前）),32,諫早（雲仙・島原口） 本諫早（諫早市役所前）,auto_v2
島原鉄道線,島原鉄道線(本諫早（諫早市役所前）〜島原港),19,本諫早（諫早市役所前） 幸 小野 干拓の里 森山 釜ノ鼻 諫早東高校 愛野 阿母崎 吾妻（雲仙市役所前） 古部 大正 西郷 神代（鍋島邸前） 多比良 有明湯江 三会 島原 霊丘公園体育館 島原船津 島原港,auto_v2
嵐山本線,,106,,auto_v1
嵐山線,,86,,auto_v1
嵯峨野観光線,,,,auto_fail
帆柱ケーブル線,,,,auto_fail
常滑線,常滑線(神宮前〜豊田本町),246,神宮前 豊田本町,auto_review
常滑線,常滑線(豊田本町〜聚楽園),71,豊田本町 道徳 大江 大同町 柴田 名和 聚楽園,auto_review
常滑線,常滑線(聚楽園〜古見),102,聚楽園 新日鉄前 太田川 尾張横須賀 寺本 朝倉 古見,auto_review
常滑線,常滑線(古見〜長浦),76,古見 長浦,auto_review
常滑線,常滑線(長浦〜常滑),37,長浦 日長 新舞子 大野町 西ノ口 蒲池 榎戸 多屋 常滑,auto_review
広島短距離交通瀬野線,,,,auto_fail
広島電鉄本線,,,,auto_fail
広見線,,,,auto_fail
弥彦線,,12,,auto_v1
後藤寺線,,23,,auto_v1
御所線,,65,,auto_v1
徳島線,徳島線(佐古〜阿波川島),29,佐古 蔵本 鮎喰 府中 石井 下浦 牛島 麻植塚 鴨島 西麻植 阿波川島,auto_v2
徳島線,徳島線(阿波川島〜穴吹),21,阿波川島 学 山瀬 阿波山川 川田 穴吹,auto_v2
徳島線,徳島線(穴吹〜佃),10,穴吹 小島 貞光 阿波半田 江口 三加茂 阿波加茂 辻 佃,auto_v2
志度線,,43,,auto_v1
志摩線,志摩線(鳥羽〜中之郷),54,鳥羽 中之郷,auto_v2
志摩線,志摩線(中之郷〜賢島),27,中之郷 志摩赤崎 船津 加茂 松尾 白木 五知 沓掛 上之郷 志摩磯部 穴川 志摩横山 鵜方 志摩神明 賢島,auto_v2
愛知環状鉄道線,,68,,auto_v1
指宿枕崎線,指宿枕崎線(鹿児島中央〜中名),41,鹿児島中央 郡元 南鹿児島 宇宿 谷山 慈眼寺 坂之上 五位野 平川 中名,auto_v2
指宿枕崎線,指宿枕崎線(中名〜指宿),22,中名 喜入 生見 薩摩今和泉 宮ヶ浜 二月田 指宿,auto_v2
指宿枕崎線,指宿枕崎線(指宿〜枕崎),7,指宿 山川 大山 西大山 薩摩川尻 東開聞 開聞 入野 頴娃 西頴娃 御領 石垣 水成川 頴娃大川 松ヶ浦 薩摩塩屋 白沢 薩摩板敷 枕崎,auto_v2
摩耶ケーブル線,,,,auto_fail
播但線,播但線(和田山〜寺前),13,和田山 竹田 青倉 新井 生野 長谷 寺前,auto_v2
播但線,播但線(寺前〜福崎),31,寺前 新野 鶴居 甘地 福崎,auto_v2
播但線,播但線(福崎〜姫路),43,福崎 溝口 香呂 仁豊野 砥堀 野里 京口 姫路,auto_v2
新湊港線,,,,auto_fail
日南線,日南線(志布志〜谷之口),6,志布志 大隅夏井 福島高松 福島今町 串間 日向北方 日向大束 榎原 谷之口,auto_v2
日南線,日南線(谷之口〜青島),12,谷之口 南郷 大堂津 油津 日南 飫肥 内之田 北郷 伊比井 小内海 内海 折生迫 青島,auto_v2
日南線,日南線(青島〜南方),20,青島 子供の国 曽山寺 運動公園 木花 南方,auto_v2
日南線,日南線(南方〜南宮崎),36,南方 田吉 南宮崎,auto_v2
日本海ひすいライン,,,,auto_fail
日生線,,116,,auto_v1
日田彦山線,日田彦山線(城野〜田川後藤寺),27,城野 石田 志井公園 志井 石原町 呼野 採銅所 香春 一本松 田川伊田 田川後藤寺,auto_v2
日田彦山線,日田彦山線(田川後藤寺〜夜明),15,田川後藤寺 池尻 豊前川崎 西添田 添田 歓遊舎ひこさん 豊前桝田 彦山 筑前岩屋 大行司 宝珠山 大鶴 今山 夜明,auto_v2
日豊線,,,,auto_fail
明知線,,,,auto_fail
智頭線,智頭線(智頭〜恋山形),25,智頭 恋山形,auto_v2
智頭線,智頭線(恋山形〜上郡),11,恋山形 山郷 あわくら温泉 西粟倉 大原 宮本武蔵 石井 平福 佐用 久崎 河野原円心 苔縄 上郡,auto_v2
有馬線,有馬線(湊川〜丸山),146,湊川 長田 丸山,auto_v2
有馬線,有馬線(丸山〜有馬温泉),86,丸山 鵯越 鈴蘭台 北鈴蘭台 山の街 箕谷 谷上 花山 大池 神鉄六甲 唐櫃台 有馬口 有馬温泉,auto_v2
木次線,,,,auto_fail
本四備讃線,,,,auto_fail
本町線,,7,,auto_v1
東山本線,,,,auto_fail
東海道線(JR東海),,,,auto_fail
東海道線(JR西日本),,,,auto_fail
東田本線,東田本線(運動公園前〜井原),68,運動公園前 赤岩口 井原,auto_v2
東田本線,東田本線(井原〜駅前),133,井原 競輪場前 東田 東田坂上 前畑 東八町 豊橋公園前 市役所前 札木 新川 駅前大通 駅前,auto_v2
桜井線,,,,auto_fail
桜島線,,127,,auto_v1
桜町支線,,,,auto_fail
横川線,,,,auto_fail
横河原線,,63,,auto_v1
樽見線,,,,auto_fail
橿原線,橿原線(大和西大寺〜尼ヶ辻),168,大和西大寺 尼ヶ辻,auto_review
橿原線,橿原線(尼ヶ辻〜平端),85,尼ヶ辻 西ノ京 九条 近鉄郡山 筒井 平端,auto_review
橿原線,橿原線(平端〜ファミリー公園前),109,平端 ファミリー公園前,auto_review
橿原線,橿原線(ファミリー公園前〜八木西口),73,ファミリー公園前 結崎 石見 田原本 笠縫 新ノ口 八木西口,auto_review
橿原線,橿原線(八木西口〜橿原神宮前),109,八木西口 畝傍御陵前 橿原神宮前,auto_review
橿原線,橿原線(橿原神宮前〜大和八木),136,橿原神宮前 大和八木,auto_review
武庫川線,,74,,auto_v1
武豊線,,,,auto_fail
比叡山鉄道線,,,,auto_fail
水島本線,,,,auto_fail
水間線,,,,auto_fail
氷見線,,18,,auto_v1
江波線,,,,auto_fail
河口湖線,,,,auto_fail
河和線,河和線(太田川〜高横須賀),140,太田川 高横須賀,auto_review
河和線,河和線(高横須賀〜住吉町),65,高横須賀 南加木屋 八幡新田 巽ヶ丘 白沢 坂部 阿久比 植大 半田口 住吉町,auto_review
河和線,河和線(住吉町〜知多半田),109,住吉町 知多半田,auto_review
河和線,河和線(知多半田〜成岩),83,知多半田 成岩,auto_review
河和線,河和線(成岩〜知多武豊),51,成岩 青山 上ゲ 知多武豊,auto_review
河和線,河和線(知多武豊〜富貴),83,知多武豊 富貴,auto_review
河和線,河和線(富貴〜河和),74,富貴 河和口 河和,auto_review
泉北高速鉄道線,,,,auto_fail
津山線,,22,,auto_v1
津島線,,89,,auto_v1
浅野川線,,,,auto_fail
清輝橋線,,70,,auto_v1
渥美線,,70,,auto_v1
湖西線,湖西線(近江塩津〜比良),30,近江塩津 永原 マキノ 近江中庄 近江今津 新旭 安曇川 近江高島 北小松 近江舞子 比良,auto_v2
湖西線,湖西線(比良〜堅田),53,比良 志賀 蓬莱 和邇 小野 堅田,auto_v2
湖西線,湖西線(堅田〜比叡山坂本),67,堅田 おごと温泉 比叡山坂本,auto_v2
湖西線,湖西線(比叡山坂本〜山科),72,比叡山坂本 唐崎 大津京 山科,auto_v2
湯の山線,,49,,auto_v1
湯前線,,9,,auto_v1
瀬戸線,瀬戸線(尾張瀬戸〜大森・金城学院前),105,尾張瀬戸 瀬戸市役所前 新瀬戸 水野 三郷 尾張旭 旭前 印場 大森・金城学院前,auto_v2
瀬戸線,瀬戸線(大森・金城学院前〜栄町),129,大森・金城学院前 喜多山 小幡 瓢箪山 守山自衛隊前 矢田 大曽根 森下 尼ヶ坂 清水 東大手 栄町,auto_v2
無軌条電車線,,,,auto_fail
熊本市電,,68,,auto_v1
片町線,,,,auto_fail
牟岐線,牟岐線(阿波海南〜見能林),17,阿波海南 浅川 鯖瀬 牟岐 辺川 山河内 日和佐 北河内 木岐 田井ノ浜 由岐 阿波福井 新野 桑野 阿波橘 見能林,auto_v2
牟岐線,牟岐線(見能林〜徳島),31,見能林 阿南 阿波中島 西原 羽ノ浦 立江 阿波赤石 南小松島 中田 地蔵橋 文化の森 二軒屋 阿波富田 徳島,auto_v2
犬山線,,,,auto_fail
琴平線,琴平線(高松築港〜瓦町),127,高松築港 片原町 瓦町,auto_v2
琴平線,琴平線(瓦町〜一宮),68,瓦町 栗林公園 三条 伏石 太田 仏生山 空港通り 一宮,auto_v2
琴平線,琴平線(一宮〜滝宮),46,一宮 円座 岡本 挿頭丘 畑田 陶 綾川 滝宮,auto_v2
琴平線,琴平線(滝宮〜琴電琴平),34,滝宮 羽床 栗熊 岡田 羽間 榎井 琴電琴平,auto_v2
甘木線,,40,,auto_v1
生駒線,生駒線(生駒〜東山),75,生駒 菜畑 一分 南生駒 萩の台 東山,auto_v2
生駒線,生駒線(東山〜王寺),66,東山 元山上口 平群 竜田川 勢野北口 信貴山下 王寺,auto_v2
生駒鋼索線,,,,auto_fail
田原本線,,47,,auto_v1
田川線,,20,,auto_v1
甲陽線,,108,,auto_v1
白島線,,,,auto_fail
白新線,白新線(新発田〜西新発田),39,新発田 西新発田,auto_review
白新線,白新線(西新発田〜豊栄),31,西新発田 佐々木 黒山 豊栄,auto_review
白新線,白新線(豊栄〜東新潟),53,豊栄 早通 新崎 大形 新潟 東新潟,auto_review
皆実線,,,,auto_fail
知多新線,,41,,auto_v1
石山坂本線,石山坂本線(石山寺〜近江神宮前),113,石山寺 唐橋前 京阪石山 粟津 瓦ヶ浜 中ノ庄 膳所本町 錦 京阪膳所 石場 島ノ関 びわ湖浜大津 三井寺 大津市役所前 京阪大津京 近江神宮前,auto_v2
石山坂本線,石山坂本線(近江神宮前〜坂本比叡山口),94,近江神宮前 南滋賀 滋賀里 穴太 松ノ馬場 坂本比叡山口,auto_v2
石川線,,27,,auto_v1
神戸市営海岸線,,,,auto_fail
神戸市営西神・山手線,,,,auto_fail
神戸線,神戸線(大阪梅田〜中津),256,大阪梅田 中津,auto_review
神戸線,神戸線(中津〜塚口),116,中津 十三 神崎川 園田 塚口,auto_review
神戸線,神戸線(塚口〜武庫之荘),173,塚口 武庫之荘,auto_review
神戸線,神戸線(武庫之荘〜西宮北口),137,武庫之荘 西宮北口,auto_review
神戸線,神戸線(西宮北口〜御影),225,西宮北口 夙川 芦屋川 岡本 御影,auto_review
神戸線,神戸線(御影〜六甲),119,御影 六甲,auto_review
神戸線,神戸線(六甲〜王子公園),152,六甲 王子公園,auto_review
神戸線,神戸線(王子公園〜神戸三宮),119,王子公園 春日野道 神戸三宮,auto_review
神戸高速線,神戸高速線(神戸三宮〜高速神戸),126,神戸三宮 花隈 高速神戸,auto_v2
神戸高速線,神戸高速線(高速神戸〜新開地),215,高速神戸 西元町 元町 新開地,auto_v2
神戸高速線,神戸高速線(新開地〜大開),245,新開地 大開,auto_v2
神戸高速線,神戸高速線(大開〜湊川),115,大開 高速長田 西代 湊川,auto_v2
福塩線,福塩線(塩町〜下川辺),6,塩町 三良坂 吉舎 備後安田 梶田 甲奴 上下 備後矢野 備後三川 河佐 中畑 下川辺,auto_v2
福塩線,福塩線(下川辺〜福山),27,下川辺 府中 鵜飼 高木 新市 上戸手 戸手 近田 駅家 万能倉 道上 湯田村 神辺 横尾 備後本庄 福山,auto_v2
福岡市営七隈線,,177,,auto_v1
福岡市営空港線,福岡市営空港線(福岡空港〜中洲川端),182,福岡空港 東比恵 博多 祇園 中洲川端,auto_v2
福岡市営空港線,福岡市営空港線(中洲川端〜姪浜),252,中洲川端 天神 赤坂 大濠公園 唐人町 西新 藤崎 室見 姪浜,auto_v2
福岡市営箱崎線,,131,,auto_v1
福武線,,44,,auto_v1
福知山線,,,,auto_fail
立山線,立山線(寺田〜稚子塚),28,寺田 稚子塚,auto_v2
立山線,立山線(稚子塚〜立山),15,稚子塚 田添 五百石 榎町 下段 釜ヶ淵 沢中山 岩峅寺 横江 千垣 有峰口 本宮 立山,auto_v2
立山黒部貫光鋼索線,,,,auto_fail
竹鼻線,,49,,auto_v1
筑肥線,,,,auto_fail
筑豊線,,,,auto_fail
筑豊電気鉄道線,筑豊電気鉄道線(黒崎駅前〜筑豊中間),80,黒崎駅前 西黒崎 熊西 萩原 穴生 森下 今池 永犬丸 三ヶ森 西山 通谷 東中間 筑豊中間,auto_v2
筑豊電気鉄道線,筑豊電気鉄道線(筑豊中間〜楠橋),69,筑豊中間 希望が丘高校前 筑豊香月 楠橋,auto_v2
筑豊電気鉄道線,筑豊電気鉄道線(楠橋〜筑豊直方),61,楠橋 新木屋瀬 木屋瀬 遠賀野 感田 筑豊直方,auto_v2
箕面線,,111,,auto_v1
築港線,,20,,auto_v1
篠ノ井線,篠ノ井線(篠ノ井〜稲荷山),73,篠ノ井 稲荷山,auto_review
篠ノ井線,篠ノ井線(稲荷山〜明科),18,稲荷山 姨捨 冠着 聖高原 坂北 西条 明科,auto_review
篠ノ井線,篠ノ井線(明科〜松本),26,明科 田沢 松本,auto_review
篠ノ井線,篠ノ井線(松本〜南松本),89,松本 南松本,auto_review
篠ノ井線,篠ノ井線(南松本〜塩尻),52,南松本 平田 村井 広丘 塩尻,auto_review
篠栗線,篠栗線(桂川〜九郎原),55,桂川 筑前大分 九郎原,auto_review
篠栗線,篠栗線(九郎原〜城戸南蔵院前),26,九郎原 城戸南蔵院前,auto_review
篠栗線,篠栗線(城戸南蔵院前〜筑前山手),55,城戸南蔵院前 筑前山手,auto_review
篠栗線,篠栗線(筑前山手〜篠栗),38,筑前山手 篠栗,auto_review
篠栗線,篠栗線(篠栗〜門松),72,篠栗 門松,auto_review
篠栗線,篠栗線(門松〜長者原),61,門松 長者原,auto_review
篠栗線,篠栗線(長者原〜吉塚),73,長者原 原町 柚須 吉塚,auto_review
粟生線,粟生線(鈴蘭台〜西鈴蘭台),74,鈴蘭台 鈴蘭台西口 西鈴蘭台,auto_v2
粟生線,粟生線(西鈴蘭台〜志染),57,西鈴蘭台 藍那 木津 木幡 栄 押部谷 緑が丘 広野ゴルフ場前 志染,auto_v2
粟生線,粟生線(志染〜小野),50,志染 恵比須 三木上の丸 三木 大村 樫山 市場 小野,auto_v2
粟生線,粟生線(小野〜粟生),26,小野 葉多 粟生,auto_v2
糸田線,,18,,auto_v1
紀勢線,,,,auto_fail
紀州鉄道線,,15,,auto_v1
網干線,,79,,auto_v1
美祢線,美祢線(厚狭〜湯ノ峠),21,厚狭 湯ノ峠,auto_review
美祢線,美祢線(湯ノ峠〜厚保),0,湯ノ峠 厚保,auto_review
美祢線,美祢線(厚保〜長門市),9,厚保 四郎ヶ原 南大嶺 美祢 重安 於福 渋木 長門湯本 板持 長門市,auto_review
羽島線,,48,,auto_v1
肥薩おれんじ鉄道線,,14,,auto_v1
肥薩線,,,,auto_fail
舞鶴線,舞鶴線(東舞鶴〜真倉),27,東舞鶴 西舞鶴 真倉,auto_v2
舞鶴線,舞鶴線(真倉〜綾部),17,真倉 梅迫 淵垣 綾部,auto_v2
花園線,,,,auto_fail
芸備線,,,,auto_fail
若桜線,,,,auto_fail
草津線,,,,auto_fail
菊池線,菊池線(御代志〜北熊本),43,御代志 再春医療センター前 熊本高専前 黒石 三ツ石 須屋 新須屋 堀川 八景水谷 亀井 北熊本,auto_v2
菊池線,菊池線(北熊本〜上熊本),31,北熊本 坪井川公園 打越 池田 韓々坂 上熊本,auto_v2
蒲郡線,,35,,auto_v1
藤崎線,,41,,auto_v1
蛍茶屋支線,,,,auto_fail
西九州新幹線,西九州新幹線(長崎〜嬉野温泉),24,長崎 諫早 新大村 嬉野温泉,auto_v2
西九州新幹線,西九州新幹線(嬉野温泉〜武雄温泉),17,嬉野温泉 武雄温泉,auto_v2
西九州線,,,,auto_fail
西信貴鋼索線,,,,auto_fail
西尾線,西尾線(新安城〜西尾口),69,新安城 北安城 南安城 碧海古井 堀内公園 桜井 南桜井 米津 桜町前 西尾口,auto_v2
西尾線,西尾線(西尾口〜吉良吉田),37,西尾口 西尾 福地 上横須賀 吉良吉田,auto_v2
西鉄甘木線,,39,,auto_v1
豊川線,,59,,auto_v1
豊田線,,79,,auto_v1
豊肥線,,,,auto_fail
貝塚線,,83,,auto_v1
貴志川線,,36,,auto_v1
赤穂線,赤穂線(相生〜播州赤穂),29,相生 西相生 坂越 播州赤穂,auto_review
赤穂線,赤穂線(播州赤穂〜備前片上),17,播州赤穂 天和 備前福河 寒河 日生 伊里 備前片上,auto_review
赤穂線,赤穂線(備前片上〜長船),23,備前片上 西片上 伊部 香登 長船,auto_review
赤穂線,赤穂線(長船〜東岡山),32,長船 邑久 大富 西大寺 大多羅 東岡山,auto_review
赤迫支線,,,,auto_fail
越後線,,,,auto_fail
越美北線,,,,auto_fail
越美南線,,,,auto_fail
身延線,,,,auto_fail
近江鉄道本線,近江鉄道本線(米原〜フジテック前),45,米原 フジテック前,auto_review
近江鉄道本線,近江鉄道本線(フジテック前〜彦根),26,フジテック前 鳥居本 彦根,auto_review
近江鉄道本線,近江鉄道本線(彦根〜高宮),33,彦根 ひこね芹川 彦根口 高宮,auto_review
近江鉄道本線,近江鉄道本線(高宮〜貴生川),26,高宮 尼子 豊郷 愛知川 五箇荘 河辺の森 八日市 長谷野 大学前 京セラ前 桜川 朝日大塚 朝日野 日野 水口松尾 水口 水口石橋 水口城南 貴生川,auto_review
近鉄京都線,近鉄京都線(京都〜東寺),211,京都 東寺,auto_review
近鉄京都線,近鉄京都線(東寺〜十条),152,東寺 十条,auto_review
近鉄京都線,近鉄京都線(十条〜竹田),77,十条 上鳥羽口 竹田,auto_review
近鉄京都線,近鉄京都線(竹田〜伏見),188,竹田 伏見,auto_review
近鉄京都線,近鉄京都線(伏見〜桃山御陵前),247,伏見 近鉄丹波橋 桃山御陵前,auto_review
近鉄京都線,近鉄京都線(桃山御陵前〜向島),188,桃山御陵前 向島,auto_review
近鉄京都線,近鉄京都線(向島〜富野荘),104,向島 小倉 伊勢田 大久保 久津川 寺田 富野荘,auto_review
近鉄京都線,近鉄京都線(富野荘〜興戸),173,富野荘 新田辺 興戸,auto_review
近鉄京都線,近鉄京都線(興戸〜大和西大寺),89,興戸 三山木 近鉄宮津 狛田 新祝園 木津川台 山田川 高の原 平城 大和西大寺,auto_review
近鉄奈良線,近鉄奈良線(近鉄奈良〜富雄),239,近鉄奈良 新大宮 大和西大寺 菖蒲池 学園前 富雄,auto_review
近鉄奈良線,近鉄奈良線(富雄〜生駒),120,富雄 東生駒 生駒,auto_review
近鉄奈良線,近鉄奈良線(生駒〜石切),249,生駒 石切,auto_review
近鉄奈良線,近鉄奈良線(石切〜額田),167,石切 額田,auto_review
近鉄奈良線,近鉄奈良線(額田〜東花園),104,額田 枚岡 瓢箪山 東花園,auto_review
近鉄奈良線,近鉄奈良線(東花園〜河内花園),129,東花園 河内花園,auto_review
近鉄奈良線,近鉄奈良線(河内花園〜布施),106,河内花園 若江岩田 八戸ノ里 河内小阪 河内永和 布施,auto_review
近鉄山田線,,,,auto_fail
近鉄連絡線,,,,auto_fail
近鉄長野線,近鉄長野線(古市〜富田林),93,古市 喜志 富田林,auto_v2
近鉄長野線,近鉄長野線(富田林〜河内長野),76,富田林 富田林西口 川西 滝谷不動 汐ノ宮 河内長野,auto_v2
連絡線,,,,auto_fail
道明寺線,,56,,auto_v1
遠州鉄道線,,83,,auto_v1
郡中線,,60,,auto_v1
鈴鹿線,,52,,auto_v1
錦川清流線,,10,,auto_v1
長尾線,,54,,auto_v1
長崎線,,,,auto_fail
長崎電気軌道本線,,,,auto_fail
長野線,長野線(長野〜善光寺下),45,長野 市役所前 権堂 善光寺下,auto_v2
長野線,長野線(善光寺下〜北須坂),36,善光寺下 本郷 桐原 信濃吉田 朝陽 附属中学前 柳原 村山 日野 須坂 北須坂,auto_v2
長野線,長野線(北須坂〜信州中野),28,北須坂 小布施 都住 桜沢 延徳 信州中野,auto_v2
長野線,長野線(信州中野〜湯田中),19,信州中野 中野松川 信濃竹原 夜間瀬 上条 湯田中,auto_v2
門司港レトロ観光線,,0,,auto_v1
関西空港線,関西空港線(日根野〜りんくうタウン),78,日根野 りんくうタウン,auto_v2
関西空港線,関西空港線(りんくうタウン〜関西空港),69,りんくうタウン 関西空港,auto_v2
関西線,,,,auto_fail
阪和線,阪和線(天王寺〜美章園),262,天王寺 美章園,auto_review
阪和線,阪和線(美章園〜浅香),82,美章園 南田辺 鶴ヶ丘 長居 我孫子町 杉本町 浅香,auto_review
阪和線,阪和線(浅香〜三国ヶ丘),214,浅香 堺市 三国ヶ丘,auto_review
阪和線,阪和線(三国ヶ丘〜和歌山),82,三国ヶ丘 百舌鳥 上野芝 津久野 東羽衣 鳳 富木 北信太 信太山 和泉府中 久米田 下松 東岸和田 東貝塚 和泉橋本 東佐野 熊取 日根野 長滝 新家 和泉砂川 和泉鳥取 山中渓 紀伊 六十谷 紀伊中ノ島 和歌山,auto_review
阪堺線,阪堺線(浜寺駅前〜我孫子道),78,浜寺駅前 船尾 石津 石津北 東湊 御陵前 寺地町 宿院 大小路 花田口 妙国寺前 神明町 綾ノ町 高須神社 大和川 我孫子道,auto_v2
阪堺線,阪堺線(我孫子道〜住吉鳥居前),194,我孫子道 安立町 細井川 住吉鳥居前,auto_v2
阪堺線,阪堺線(住吉鳥居前〜恵美須町),36,住吉鳥居前 住吉 東粉浜 塚西 東玉出 天神ノ森 聖天坂 北天下茶屋 松田町 今船 今池 新今宮駅前 恵美須町,auto_v2
阪急京都線,,211,,auto_v1
阪神なんば線,阪神なんば線(大阪難波〜千鳥橋),156,大阪難波 桜川 ドーム前 九条 西九条 千鳥橋,auto_v2
阪神なんば線,阪神なんば線(千鳥橋〜尼崎),105,千鳥橋 伝法 福 出来島 大物 尼崎,auto_v2
阪神本線,阪神本線(大阪梅田〜福島),297,大阪梅田 福島,auto_review
阪神本線,阪神本線(福島〜野田),119,福島 野田,auto_review
阪神本線,阪神本線(野田〜尼崎センタープール前),106,野田 淀川 姫島 千船 杭瀬 大物 尼崎 出屋敷 尼崎センタープール前,auto_review
阪神本線,阪神本線(尼崎センタープール前〜深江),213,尼崎センタープール前 武庫川 鳴尾・武庫川女子大前 甲子園 久寿川 今津 西宮 香櫨園 打出 芦屋 深江,auto_review
阪神本線,阪神本線(深江〜春日野道),114,深江 青木 魚崎 住吉 御影 石屋川 新在家 大石 西灘 岩屋 春日野道,auto_review
阪神本線,阪神本線(春日野道〜元町),246,春日野道 神戸三宮 元町,auto_review
阿佐東線,,,,auto_fail
阿佐線,,,,auto_fail
難波線,難波線(大阪上本町〜近鉄日本橋),331,大阪上本町 近鉄日本橋,auto_v2
難波線,難波線(近鉄日本橋〜大阪難波),269,近鉄日本橋 大阪難波,auto_v2
静岡清水線,,132,,auto_v1
鞍馬山鋼索鉄道,,,,auto_fail
鞍馬線,,,,auto_fail
飯山線,,13,,auto_v1
飯田線,飯田線(辰野〜時又),19,辰野 宮木 伊那新町 羽場 沢 伊那松島 木ノ下 北殿 田畑 伊那北 伊那市 下島 沢渡 赤木 宮田 大田切 駒ヶ根 小町屋 伊那福岡 田切 飯島 伊那本郷 七久保 高遠原 伊那田島 上片桐 伊那大島 山吹 下平 市田 下市田 元善光寺 伊那上郷 桜町 飯田 切石 鼎 下山村 伊那八幡 毛賀 駄科 時又,auto_review
飯田線,飯田線(時又〜本長篠),10,時又 川路 天竜峡 千代 金野 唐笠 門島 田本 温田 為栗 平岡 鶯巣 伊那小沢 中井侍 小和田 大嵐 水窪 向市場 城西 相月 佐久間 中部天竜 下川合 早瀬 浦川 上市場 出馬 東栄 池場 三河川合 柿平 三河槙原 湯谷温泉 三河大野 本長篠,auto_review
飯田線,飯田線(本長篠〜東新町),22,本長篠 長篠城 鳥居 大海 三河東郷 茶臼山 東新町,auto_review
飯田線,飯田線(東新町〜豊橋),36,東新町 新城 野田城 東上 江島 長山 三河一宮 豊川 牛久保 小坂井 下地 船町 豊橋,auto_review
養老線,,,,auto_fail
