路線,区間,本数,駅,状態
常磐線,常磐線(北柏〜水戸),110,北柏 取手 藤代 龍ケ崎市 牛久 ひたち野うしく 荒川沖 土浦 神立 高浜 石岡 羽鳥 岩間 友部 内原 水戸,manual
常磐線,常磐線(水戸〜いわき),55,水戸 偕楽園 赤塚 勝田 佐和 東海 大甕 常陸多賀 日立 小木津 十王 高萩 南中郷 磯原 大津港 勿来 植田 泉 湯本 内郷 いわき,manual
常磐線,常磐線(いわき〜亘理),25,いわき 草野 四ツ倉 久ノ浜 末続 広野 Jヴィレッジ 木戸 竜田 富岡 夜ノ森 大野 双葉 浪江 桃内 小高 磐城太田 原ノ町 鹿島 日立木 相馬 駒ヶ嶺 新地 坂元 山下 浜吉田 亘理,manual
常磐線,常磐線(亘理〜岩沼),27,亘理 逢隈 岩沼,manual
東北新幹線,東北新幹線(東京〜小山),107,東京 上野 大宮 小山,auto_review
東北新幹線,東北新幹線(小山〜宇都宮),27,小山 宇都宮,auto_review
東北新幹線,東北新幹線(宇都宮〜郡山),17,宇都宮 那須塩原 新白河 郡山,auto_review
東北新幹線,東北新幹線(郡山〜白石蔵王),47,郡山 福島 白石蔵王,auto_review
東北新幹線,東北新幹線(白石蔵王〜古川),58,白石蔵王 仙台 古川,auto_review
東北新幹線,東北新幹線(古川〜新青森),21,古川 くりこま高原 一ノ関 水沢江刺 北上 新花巻 盛岡 いわて沼宮内 二戸 八戸 七戸十和田 新青森,auto_review
上越新幹線,上越新幹線(大宮〜熊谷),24,大宮 熊谷,auto_v1
上越新幹線,上越新幹線(熊谷〜本庄早稲田),24,熊谷 本庄早稲田,auto_v1
東海道新幹線,,242,,auto_v1
御殿場線,,27,,auto_fail
東京メトロ銀座線,,318,,auto_v1
東京メトロ丸ノ内線,東京メトロ丸ノ内線(荻窪〜中野坂上),234,荻窪 南阿佐ヶ谷 新高円寺 東高円寺 新中野 中野坂上,auto_v2
東京メトロ丸ノ内線,東京メトロ丸ノ内線(中野坂上〜中野新橋),315,中野坂上 西新宿 新宿 新宿三丁目 新宿御苑前 四谷三丁目 四ツ谷 赤坂見附 国会議事堂前 霞ヶ関 銀座 東京 大手町 淡路町 御茶ノ水 本郷三丁目 後楽園 茗荷谷 新大塚 池袋 中野新橋,auto_v2
東京メトロ丸ノ内線,東京メトロ丸ノ内線(中野新橋〜方南町),167,中野新橋 中野富士見町 方南町,auto_v2
東京メトロ日比谷線,,280,,auto_v1
東京メトロ千代田線,東京メトロ千代田線(北綾瀬〜綾瀬),124,北綾瀬 綾瀬,auto_v2
東京メトロ千代田線,東京メトロ千代田線(綾瀬〜代々木上原),256,綾瀬 北千住 町屋 西日暮里 千駄木 根津 湯島 新御茶ノ水 大手町 二重橋前 日比谷 霞ヶ関 国会議事堂前 赤坂 乃木坂 表参道 明治神宮前 代々木公園 代々木上原,auto_v2
東京メトロ有楽町線,東京メトロ有楽町線(新木場〜小竹向原),219,新木場 辰巳 豊洲 月島 新富町 銀座一丁目 有楽町 桜田門 永田町 麹町 市ヶ谷 飯田橋 江戸川橋 護国寺 東池袋 池袋 要町 千川 小竹向原,auto_v2
東京メトロ有楽町線,東京メトロ有楽町線(小竹向原〜和光市),287,小竹向原 氷川台 平和台 地下鉄赤塚 地下鉄成増 和光市,auto_v2
東京メトロ半蔵門線,,280,,auto_v1
東京メトロ南北線,東京メトロ南北線(赤羽岩淵〜白金高輪),191,赤羽岩淵 志茂 王子神谷 王子 西ヶ原 駒込 本駒込 東大前 後楽園 飯田橋 市ヶ谷 四ツ谷 永田町 溜池山王 六本木一丁目 麻布十番 白金高輪,auto_v2
東京メトロ南北線,東京メトロ南北線(白金高輪〜目黒),255,白金高輪 白金台 目黒,auto_v2
東京メトロ副都心線,東京メトロ副都心線(渋谷〜北参道),259,渋谷 明治神宮前 北参道,auto_review
東京メトロ副都心線,東京メトロ副都心線(北参道〜新宿三丁目),190,北参道 新宿三丁目,auto_review
東京メトロ副都心線,東京メトロ副都心線(新宿三丁目〜東新宿),259,新宿三丁目 東新宿,auto_review
東京メトロ副都心線,東京メトロ副都心線(東新宿〜小竹向原),169,東新宿 西早稲田 雑司が谷 池袋 要町 千川 小竹向原,auto_review
都営浅草線,都営浅草線(押上〜泉岳寺),252,押上 本所吾妻橋 浅草 蔵前 浅草橋 東日本橋 人形町 日本橋 宝町 東銀座 新橋 大門 三田 泉岳寺,auto_v2
都営浅草線,都営浅草線(泉岳寺〜西馬込),165,泉岳寺 高輪台 五反田 戸越 中延 馬込 西馬込,auto_v2
